"","text_prepared.1","text_prepared.2","text_prepared.3","text_prepared.4","text_prepared.5","text_prepared.6","text_prepared.7","text_prepared.8","text_prepared.9","text_prepared.10","text_prepared.11","text_prepared.12","text_prepared.13","text_prepared.14","text_prepared.15","text_prepared.16","text_prepared.17","text_prepared.18","text_prepared.19","text_prepared.20","text_prepared.21","text_prepared.22","text_prepared.23","text_prepared.24","text_prepared.25","text_prepared.26","text_prepared.27","text_prepared.28","text_prepared.29","text_prepared.30","text_prepared.31","text_prepared.32","text_prepared.33","text_prepared.34","text_prepared.35","text_prepared.36","text_prepared.37","text_prepared.38","text_prepared.39","text_prepared.40","text_prepared.41","text_prepared.42","text_prepared.43","text_prepared.44","text_prepared.45","text_prepared.46","text_prepared.47","text_prepared.48","text_prepared.49","text_prepared.50","text_prepared.51","text_prepared.52","text_prepared.53","text_prepared.54","labels"
"labels5279",40,13,1,432,554,8,2773,678,3,205,2382,500,2401,256,36,2,2773,678,256,1785,11,6,925,10,8527,1,433,4,905,4,385,103,5,315,7,1841,91,1641,5,161,543,63,103,5,298,7,769,26,33,322,1071,5,23,2038,1
"labels5280",0,0,0,256,1785,11,6,925,10,8527,1,433,4,905,4,385,103,5,315,7,1841,91,1641,5,161,543,63,103,5,298,7,769,26,33,322,1071,5,23,2038,1,1529,14,149,18,64,32,88,1393,33,902,3,115,6,63,1
"labels5281",0,0,0,103,5,315,7,1841,91,1641,5,161,543,63,103,5,298,7,769,26,33,322,1071,5,23,2038,1,1529,14,149,18,64,32,88,1393,33,902,3,115,6,63,1,160,3,625,2,104,43,151,16,4352,5,2,9298,1
"labels5282",0,0,0,1,1529,14,149,18,64,32,88,1393,33,902,3,115,6,63,1,160,3,625,2,104,43,151,16,4352,5,2,9298,10,18,471,5,12,20,520,1,256,36,344,13,6,1749,63,1457,3,130,149,18,256,36,52,1
"labels5283",3,625,2,104,43,151,16,4352,5,2,9298,10,18,471,5,12,20,520,1,256,36,344,13,6,1749,63,1457,3,130,149,18,256,36,52,2,3,87,1616,4,256,36,391,2,26,18,471,9,17,213,3,4613,10,1457,5,1
"labels5284",3,130,149,18,256,36,52,2,3,87,1616,4,256,36,391,2,26,18,471,9,17,213,3,4613,10,1457,5,1320,13,6,19,341,14,1,7924,4,507,678,2,256,36,6,215,394,673,20,7,245,98,73,787,8,1,344,1
"labels5285",3,87,1616,4,256,36,391,2,26,18,471,9,17,213,3,4613,10,1457,5,1320,13,6,19,341,14,1,7924,4,507,678,2,256,36,6,215,394,673,20,7,245,98,73,787,8,1,344,1083,385,174,23,273,433,132,63,1
"labels5286",14,1,7924,4,507,678,2,256,36,6,215,394,673,20,7,245,98,73,787,8,1,344,1083,385,174,23,273,433,132,63,1052,11,1,680,140,803,1558,4,1853,809,6367,2,1,850,1558,4,1853,809,930,385,101,1,419,4,1
"labels5287",0,0,1083,385,174,23,273,433,132,63,1052,11,1,680,140,803,1558,4,1853,809,6367,2,1,850,1558,4,1853,809,930,385,101,1,419,4,24,60,659,4,31,50,1044,37,3329,1052,17,1901,13,256,36,391,2773,678,37,247,1
"labels5288",2,1,850,1558,4,1853,809,930,385,101,1,419,4,24,60,659,4,31,50,1044,37,3329,1052,17,1901,13,256,36,391,2773,678,37,247,1,256,36,344,4,149,7,856,69,1052,666,383,61,5,102,420,71,3,1285,23,2093,1
"labels5289",344,4,149,7,856,69,1052,666,383,61,5,102,420,71,3,1285,23,2093,1,344,7,49,5236,135,13,503,50,8,6,204,4,2550,769,256,1785,33,6,310,209,60,1,1248,4,1,111,61,487,2,615,4,149,18,102,420,1
"labels5290",7,856,69,1052,666,383,61,5,102,420,71,3,1285,23,2093,1,344,7,49,5236,135,13,503,50,8,6,204,4,2550,769,256,1785,33,6,310,209,60,1,1248,4,1,111,61,487,2,615,4,149,18,102,420,2034,634,2566,1
"labels5291",3,594,140,4637,5,432,1713,1762,8,669,6460,90,238,318,23,1750,15,1903,194,8,1527,148,8,79,933,50,1628,10,39,215,1708,8,6460,9,1090,82,62,9438,195,2745,3,1750,10,233,1418,2,8704,1,1338,10,39,1090,215,6989,1
"labels5292",194,8,1527,148,8,79,933,50,1628,10,39,215,1708,8,6460,9,1090,82,62,9438,195,2745,3,1750,10,233,1418,2,8704,1,1338,10,39,1090,215,6989,314,6,509,159,4618,45,149,2,3373,8,4230,32,88,6,766,14,247,7994,1
"labels5293",4637,22,3,40,14,24,60,126,251,3870,27,40,14,11900,12969,2,3,227,760,4,1155,15432,290,1797,15,86,901,6,215,394,673,20,7,350,1,509,159,4618,45,149,2,3373,8,4230,2355,1,204,4,251,47,1,186,369,57,1
"labels5294",24,60,126,251,3870,27,40,14,11900,12969,2,3,227,760,4,1155,15432,290,1797,15,86,901,6,215,394,673,20,7,350,1,509,159,4618,45,149,2,3373,8,4230,2355,1,204,4,251,47,1,186,369,57,483,385,2,289,569,1
"labels5295",114,21,10328,3,162,75,2,82,79,50,22,88,15,234,6,215,394,673,20,7,1122,55,8,177,2590,519,2,177,2,398,2590,519,2,7,6071,187,3,82,292,519,62,4374,45,3,71,1195,4,759,519,2,79,297,6,554,1
"labels5296",1122,55,8,177,2590,519,2,177,2,398,2590,519,2,7,6071,187,3,82,292,519,62,4374,45,3,71,1195,4,759,519,2,79,297,6,554,9,1090,49,245,2973,55,8,165,90,1,10668,67,2,99,1782,7198,934,569,4,234,1
"labels5297",79,297,6,554,9,1090,49,245,2973,55,8,165,90,1,10668,67,2,99,1782,7198,934,569,4,234,86,652,5,1798,514,30,8,569,2,75,7,82,79,50,22,88,3405,15,234,2,34,10,39,22,1,30,2,526,39,74,1
"labels5298",1951,17,10,9,84,34,10,149,11,302,8,28,385,12,673,20,32,6,223,400,4,483,149,18,147,2,1951,27,377,2,254,30,8,79,1147,15,26,25,684,202,6,42,63,80,3,561,5533,2,1230,178,377,2,177,678,1
"labels5299",32,6,223,400,4,483,149,18,147,2,1951,27,377,2,254,30,8,79,1147,15,26,25,684,202,6,42,63,80,3,561,5533,2,1230,178,377,2,177,678,5265,1,300,66,3,351,178,377,2,1193,1062,203,930,147,2,1951,1
"labels5300",2,175,147,27,336,2,1308,1598,1083,2355,30,3,207,377,203,147,2,1951,54,69,154,251,21,172,4,1,147,18,225,101,811,4,147,149,86,3753,1187,947,17,594,3,162,147,2,1951,78,10,39,43,1239,23,4699,2,194,1
"labels5301",300,66,3,1230,321,2105,146,26,5273,1,207,4,91,221,1457,5,87,55,3,506,3,82,147,4933,1,1537,156,166,3742,21,149,18,813,321,2105,540,1,4254,4,1,8388,717,15,355,5,3,3557,28,1273,4,321,2105,2,4124,1
"labels5302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,46,869,8,79,50,4179,3,116,2539,105,3,30,149,18,802,1456,497,36,56,52,139,1127,2253,36,165,1
"labels5303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3,30,149,18,802,1456,497,36,56,52,139,1127,2253,36,165,30,834,2,67,65,5,199,149,1
"labels5304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614,6,3182,14,2419,1977,12,673,20,3105,1,2989,28,385,1841,5,281,5,1,1419,111,5,1,83,9,215,213,3,222,6,107,4,1879,2,335,8,12,75,2,3828,0
"labels5305",0,0,12,673,20,3105,1,2989,28,385,1841,5,281,5,1,1419,111,5,1,83,9,215,213,3,222,6,107,4,1879,2,335,8,12,75,2,3828,9,613,10,6,223,64,11,1,1153,8,223,71,2,6,223,2,1405,111,0
"labels5306",2,58,2330,2,704,254,390,19,187,3,30,432,487,50,17,1147,15,349,37,2678,2,79,50,1854,3,761,269,90,3121,200,854,4524,700,69,1031,2,295,9,613,385,17,3293,31,2,10,58,474,17,716,198,6668,15,69,300,1
"labels5307",2,295,9,613,385,17,3293,31,2,10,58,474,17,716,198,6668,15,69,300,5598,149,18,1574,815,2,602,3,246,250,6,2520,1657,4,35,14794,1008,3139,2,1883,2644,854,651,602,2,935,3,408,6085,2,67,65,3,12,71,0
"labels5308",0,0,0,0,0,0,0,0,854,651,602,2,935,3,408,6085,2,67,65,3,12,71,254,1969,264,30,8,149,18,802,1456,497,36,56,52,289,640,165,14,36,391,10,5658,28,385,114,21,674,2,1633,10,1918,1,4586,1
"labels5309",0,0,0,0,0,0,0,0,254,1969,264,30,8,149,18,802,1456,497,36,56,52,289,640,165,14,36,391,10,5658,28,385,114,21,674,2,1633,10,1918,1,4586,4228,13,149,18,6877,69,3,4656,12,111,18,1174,494,214,1
"labels5310",0,95,10,2229,282,207,146,39,481,593,116,132,432,2921,2687,3,16,1462,13,664,2,1321,21,1,120,4,12,487,7159,78,84,12,911,3,79,120,781,26,18,594,108,761,269,3,3121,200,2,40,37,4413,1,36,56,52,1
"labels5311",120,4,12,487,7159,78,84,12,911,3,79,120,781,26,18,594,108,761,269,3,3121,200,2,40,37,4413,1,36,56,52,487,11489,28,3,246,250,1,2867,1405,111,9,1536,598,2,10,18,6,437,9,43,920,1653,3,4867,1
"labels5312",437,9,43,920,1653,3,4867,10,18,471,12,673,20,32,230,390,1141,3,1,19,487,1569,3,130,383,255,2,45,8,1,1185,2,147,50,22,14009,12,593,18,3924,78,5307,86,1141,319,1777,19,1373,256,36,1884,164,1,111,1
"labels5313",20,32,230,390,1141,3,1,19,487,1569,3,130,383,255,2,45,8,1,1185,2,147,50,22,14009,12,593,18,3924,78,5307,86,1141,319,1777,19,1373,256,36,1884,164,1,111,6,19,914,143,134,218,8,487,47,1,419,4,1
"labels5314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1141,319,1777,19,1373,256,36,1884,164,1,111,6,19,914,143,134,218,8,487,47,1,419,4,6,19,178,8124,869,218,1
"labels5315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,914,143,134,218,8,487,47,1,419,4,6,19,178,8124,869,218,6,19,640,2678,218,1
"labels5316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,178,8124,869,218,6,19,640,2678,218,6,19,2,97,1107,7262,874,1
"labels5317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,640,2678,218,6,19,2,97,1107,7262,874,1761,1,2030,1651,218,1
"labels5318",896,272,1,1095,1028,72,2921,15,659,2,9,1090,105,3,68,652,3,130,1373,116,8,432,487,9,896,49,416,24,526,3,487,202,1,761,3,3121,184,2,24,30,8,79,50,22,3154,608,5,1,1348,4,23,116,3,149,1
"labels5319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,896,49,416,24,526,3,487,202,1,761,3,3121,184,2,24,30,8,79,50,22,3154,608,5,1,1348,4,23,116,3,149,95,9,43,127,24,1
"labels5320",127,24,1,2030,1651,218,11,6,5735,4147,2136,371,98,3,3971,487,50,17,1522,3224,5,6,1418,225,37,17,2271,3,863,2464,184,992,3,1,1415,4,23,3391,3,34,10,23,143,1057,33,525,659,4,23,2552,1155,1750,593,3564,1
"labels5321",6,5735,4147,2136,371,98,3,3971,487,50,17,1522,3224,5,6,1418,225,37,17,2271,3,863,2464,184,992,3,1,1415,4,23,3391,3,34,10,23,143,1057,33,525,659,4,23,2552,1155,1750,593,3564,112,17,461,487,1691,25,218,1
"labels5322",6,888,2322,4,40,25,10047,11063,108,4,1,925,2,1321,4,6,278,2,23,71,4,1,218,4,23,195,2,3916,6,215,394,673,20,7,285,487,1691,1,1500,2030,1651,218,3,1640,53,3,5,184,143,1656,297,3014,23,218,1
"labels5323",23,195,2,3916,6,215,394,673,20,7,285,487,1691,1,1500,2030,1651,218,3,1640,53,3,5,184,143,1656,297,3014,23,218,1,400,4,116,1298,1,11,3457,3,615,1254,37,50,22,884,1,432,567,13,37,24,57,4,116,1
"labels5324",268,4,1561,2,4282,78,10,78,150,31,216,1,83,276,3,384,784,10,78,150,5436,3,432,1744,11,9675,3,1,573,40,1037,4,385,22,253,90,222,1,1419,111,5,1,83,14,6,1153,4,691,10,15433,28,216,1,3497,0
"labels5325",5436,3,432,1744,11,9675,3,1,573,40,1037,4,385,22,253,90,222,1,1419,111,5,1,83,14,6,1153,4,691,10,15433,28,216,1,3497,26,18,121,11364,10,103,12343,856,328,25,63,4932,149,1,140,14481,111,5,1,83,0
"labels5326",222,1,1419,111,5,1,83,14,6,1153,4,691,10,15433,28,216,1,3497,26,18,121,11364,10,103,12343,856,328,25,63,4932,149,1,140,14481,111,5,1,83,1,6304,2744,4,26,11,10,103,98,4,132,315,385,226,2080,2537,0
"labels5327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6304,2744,4,26,11,10,103,98,4,132,315,385,226,2080,2537,38,150,305,5,1,83,43,1243,10,3582,4,12,2137,2,1739,5,1,1220,895,4,296,8122,420,43,0
"labels5328",4,12,2137,2,1739,5,1,1220,895,4,296,8122,420,43,150,4,86,19,385,476,902,2917,13,1,2005,4,23,2623,3058,2319,2,2467,86,385,17,12,1419,6328,5,6,83,2,149,2,23,155,305,17,599,2,97,8,23,506,0
"labels5329",1,2005,4,23,2623,3058,2319,2,2467,86,385,17,12,1419,6328,5,6,83,2,149,2,23,155,305,17,599,2,97,8,23,506,6,215,394,673,20,7,1620,86,2453,5181,15,765,6,19,5497,3,2879,4575,385,50,10987,86,1647,0
"labels5330",394,673,20,7,1620,86,2453,5181,15,765,6,19,5497,3,2879,4575,385,50,10987,86,1647,546,127,2029,26,18,11483,2,546,2029,26,18,8497,3530,1,218,4,116,2539,3,238,1200,15,700,3035,6,1830,4563,429,11666,4895,4,6647,5352,0
"labels5331",4,491,158,1,3573,4,1,587,716,1716,12,1629,90,1,107,12,20,6136,5598,149,18,815,2,950,5782,1,7824,4,1,31,2,1398,10,22,230,25,111,257,26,11,598,29,283,267,4,2,13976,3,1,864,10,250,21,385,0
"labels5332",3,1,6142,69,2864,3021,149,18,3839,1607,98,1,10352,2,604,1666,4,3124,12,1883,587,39,215,1,6452,4,12,35,7824,1,118,12,35,4577,17,2455,302,3399,385,17,649,202,19,5936,190,12,815,287,374,63,18,5885,4,12970,0
"labels5333",190,12,815,287,374,63,18,5885,4,12970,12,3839,491,2,124,2,1,658,540,649,1,11062,4,12,587,84,22,12,1101,30,21,84,1,432,71,27,1206,3,1206,3,1206,399,3,3589,12,815,21,9,291,1,1765,4254,4,9297,0
"labels5334",1,111,10,62,69,2,570,255,3,385,2,9,1090,62,42,54,1,149,139,3,30,69,500,10,481,6,2067,8,1,107,2543,1220,13297,226,6,1745,8,531,2,321,125,2,29,336,2,2520,2377,8,149,18,527,2,370,1431,0
"labels5335",645,4,28,31,1,180,3,200,2452,134,4,1,912,2,1,6462,4,639,2,1,709,4,260,2,328,393,5,12,455,52,691,10,105,3,3447,149,2,385,3,25,540,6,215,394,673,20,7,2879,25,283,4672,5,12,815,0
"labels5336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,2,602,82,3447,50,9,17,21,385,39,4195,149,18,1169,2,402,12,35,1281,39,215,49,283,67,1880,5,71,164,1,111,0
"labels5337",0,0,0,0,0,0,0,0,6,215,394,673,20,7,105,3,30,149,18,651,2,570,71,2,23,1413,3,12,111,12,35,1871,17,6,172,4,149,18,587,1068,2,107,12,6529,13641,11,103,4,1,1212,10,1119,149,469,0
"labels5338",0,0,0,0,0,0,0,0,0,12,35,1871,17,6,172,4,149,18,587,1068,2,107,12,6529,13641,11,103,4,1,1212,10,1119,149,469,12,673,20,4742,10,5848,2,1579,4622,71,883,3,12,111,18,570,99,2,67,6085,0
"labels5339",1212,10,1119,149,469,12,673,20,4742,10,5848,2,1579,4622,71,883,3,12,111,18,570,99,2,67,6085,10,18,471,5,9,2332,1,19,315,63,115,5526,8,1902,1871,1,140,448,80,5,149,18,35,1871,5,12,111,18,815,0
"labels5340",10,18,471,5,9,2332,1,19,315,63,115,5526,8,1902,1871,1,140,448,80,5,149,18,35,1871,5,12,111,18,815,1,5526,3611,14,298,259,4122,48,582,2,71,3,105,3,173,1,1674,2,11831,4,2447,563,71,5,149,0
"labels5341",63,115,5526,8,1902,1871,1,140,448,80,5,149,18,35,1871,5,12,111,18,815,1,5526,3611,14,298,259,4122,48,582,2,71,3,105,3,173,1,1674,2,11831,4,2447,563,71,5,149,12,359,3,149,18,35,1871,11,10019,0
"labels5342",0,0,0,0,0,1,5526,3611,14,298,259,4122,48,582,2,71,3,105,3,173,1,1674,2,11831,4,2447,563,71,5,149,12,359,3,149,18,35,1871,11,10019,6,215,394,673,20,7,105,3,367,12,1471,5526,8,1902,1871,0
"labels5343",149,18,802,1456,497,36,56,52,12,673,20,11,213,3,6,802,41,36,56,52,2,1,149,36,122,2,1,180,4,1,939,3,196,36,56,193,23,3792,9,896,272,3779,3,1,939,2,949,8,36,56,3,3902,142,327,1
"labels5344",327,5,1567,121,20,5,432,815,32,416,24,55,8,36,56,2,26,1256,3,436,2188,1,1523,303,20,50,378,36,56,55,318,1773,57,4,2825,9,22,272,36,56,3779,3,1,939,2,949,15,1083,659,3,28,109,400,327,1
"labels5345",56,2,26,1256,3,436,2188,1,1523,303,20,50,378,36,56,55,318,1773,57,4,2825,9,22,272,36,56,3779,3,1,939,2,949,15,1083,659,3,28,109,400,327,1,149,36,1465,11,2919,3,436,27,115,5,3,115,5,1
"labels5346",56,55,318,1773,57,4,2825,9,22,272,36,56,3779,3,1,939,2,949,15,1083,659,3,28,109,400,327,1,149,36,1465,11,2919,3,436,27,115,5,3,115,5,25,2460,6,2919,796,244,80,4,115,47,1,186,315,57,1
"labels5347",0,0,0,0,0,0,0,0,0,0,1,149,36,1465,11,2919,3,436,27,115,5,3,115,5,25,2460,6,2919,796,244,80,4,115,47,1,186,315,57,6,215,394,673,20,7,105,3,30,149,18,802,41,36,56,52,1
"labels5348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2460,6,2919,796,244,80,4,115,47,1,186,315,57,6,215,394,673,20,7,105,3,30,149,18,802,41,36,56,52,2,87,36,56,55,3,1,939,2,949,1
"labels5349",3,1,939,2,949,3583,56,11,29,283,4103,4,12,36,56,52,10,4101,6,204,4,391,4,491,2694,3,432,104,254,6424,2,1321,8,6,912,9953,1853,2,8,1030,37,2207,3607,2304,54,4461,236,2,3401,5951,570,2,4307,30,1
"labels5350",9953,1853,2,8,1030,37,2207,3607,2304,54,4461,236,2,3401,5951,570,2,4307,30,6,8859,1325,10,6,641,1120,4,385,425,3583,56,21,29,283,421,8,379,12,20,32,579,1,971,4,6,24,1827,52,4,3583,56,164,1,111,1
"labels5351",0,0,0,6,8859,1325,10,6,641,1120,4,385,425,3583,56,21,29,283,421,8,379,12,20,32,579,1,971,4,6,24,1827,52,4,3583,56,164,1,111,289,36,56,1190,2,5,23,506,3,183,6,35,291,3,3583,56,1
"labels5352",0,0,0,0,0,0,0,0,0,12,20,32,579,1,971,4,6,24,1827,52,4,3583,56,164,1,111,289,36,56,1190,2,5,23,506,3,183,6,35,291,3,3583,56,2,55,148,5,3583,56,8,1798,514,36,56,163,1
"labels5353",0,0,0,289,36,56,1190,2,5,23,506,3,183,6,35,291,3,3583,56,2,55,148,5,3583,56,8,1798,514,36,56,163,6,215,394,673,20,7,173,14,25,400,15,55,205,165,90,309,3583,56,11,198,416,3,385,1
"labels5354",593,2,2921,36,165,33,6216,18,794,2,102,420,54,1,392,207,4,200,56,5,102,420,71,730,33,794,1,2890,713,4,149,32,8009,10,385,281,13,2634,4461,2,1956,22,1,180,3,207,23,433,13,1,82,4,6,2706,1
"labels5355",0,0,0,0,0,0,2484,6,4910,8,674,674,11,1,850,1558,4,1853,5,149,2,369,98,4,132,1065,385,7,16,5130,13,322,1049,4,1,1310,5,23,9861,3309,140,385,22,1247,2763,39,2655,16,1308,3,3516,25,5478,1310,1
"labels5356",322,1049,4,1,1310,5,23,9861,3309,140,385,22,1247,2763,39,2655,16,1308,3,3516,25,5478,1310,95,1,204,4,31,50,4578,6,674,3436,11,4728,1093,2897,3,1,573,40,2,5665,4,468,1190,2,3251,5,149,2,216,1,83,1
"labels5357",0,0,0,0,0,0,0,0,0,91,506,319,6,1263,488,4,674,887,500,61,666,1932,818,4132,165,14482,2,847,1380,8,379,2,468,1190,2,30,8,674,544,2,3199,12,673,20,520,1,509,5,2,3018,12,2035,30,5,1
"labels5358",0,0,0,0,2,30,8,674,544,2,3199,12,673,20,520,1,509,5,2,3018,12,2035,30,5,6,215,394,673,20,7,3037,1,1457,2,55,4,1,432,509,203,674,946,5,78,26,43,105,91,283,40,4,1128,432,433,1
"labels5359",5,2,3018,12,2035,30,5,6,215,394,673,20,7,3037,1,1457,2,55,4,1,432,509,203,674,946,5,78,26,43,105,91,283,40,4,1128,432,433,1,432,674,238,32,88,6,296,7692,4,674,887,165,47,91,63,815,1
"labels5360",166,1,432,674,238,18,674,666,554,5,3096,13,73,327,4,20,2,4979,2,9,1090,49,2186,1413,3,1,16063,9958,1153,53,3,42,13,1,2142,612,877,3,166,6,440,4,3483,448,674,519,164,1,111,483,149,18,1311,1206,1
"labels5361",103,816,4,1,160,4,1566,421,7379,2225,1,967,4,6,5504,6673,4508,3411,241,2,3255,1773,15956,14,1,1311,1206,226,6,2520,9904,4,1,1092,4,1543,313,6,215,394,673,20,7,87,2168,313,15,7074,219,489,14,1,1311,1206,0
"labels5362",0,0,0,0,0,0,0,0,0,0,0,0,149,11,6,212,4,491,4632,2,491,10417,12,1281,12,6013,2,12,751,17,15434,5,6,1792,432,12919,54,3903,2969,12,494,873,32,88,6,1480,4,14310,2,2989,8,1037,4,104,0
"labels5363",0,0,0,0,0,12,1281,12,6013,2,12,751,17,15434,5,6,1792,432,12919,54,3903,2969,12,494,873,32,88,6,1480,4,14310,2,2989,8,1037,4,104,33,1,364,109,26,32,473,3,491,335,2,1911,8,5840,573,135,385,0
"labels5364",0,0,0,54,3903,2969,12,494,873,32,88,6,1480,4,14310,2,2989,8,1037,4,104,33,1,364,109,26,32,473,3,491,335,2,1911,8,5840,573,135,385,2909,346,3333,6058,2,9947,354,149,18,102,10667,2,633,91,140,9588,0
"labels5365",1,364,109,26,32,473,3,491,335,2,1911,8,5840,573,135,385,2909,346,3333,6058,2,9947,354,149,18,102,10667,2,633,91,140,9588,20,756,2,14010,6251,676,2,499,95,1,1965,9862,2655,2531,385,1088,8,12,491,111,11,14796,0
"labels5366",2,633,91,140,9588,20,756,2,14010,6251,676,2,499,95,1,1965,9862,2655,2531,385,1088,8,12,491,111,11,14796,8,150,385,2,8,150,1916,3,25,111,3013,2,778,17,24,60,5117,432,3510,2,8663,922,3,769,1,491,6877,0
"labels5367",385,1088,8,12,491,111,11,14796,8,150,385,2,8,150,1916,3,25,111,3013,2,778,17,24,60,5117,432,3510,2,8663,922,3,769,1,491,6877,5,71,5,28,589,4,1,111,445,199,145,39,17,604,6922,3,1,58,64,0
"labels5368",873,931,151,32,1732,372,1244,14,26,2,32,38,88,3739,5,47,6,881,6,215,394,673,20,7,2202,6,882,8,1051,78,10,385,2,71,164,1,111,43,7239,23,1174,2,4257,600,8,2753,21,107,83,873,1244,943,224,158,0
"labels5369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6806,19,100,2,55,47,100,317,36,55,15,659,5705,1,102,420,264,1047,122,3,87,932,2,1047,4,102,420,1132,1
"labels5370",7,174,1156,300,3,351,322,4,1,259,7926,245,98,5,91,8185,842,61,7888,1,256,36,344,4,149,3,341,14,1899,2,1052,666,13,617,1886,14,149,18,102,420,71,2034,3583,56,165,55,3,341,14,45,5,102,420,71,1
"labels5371",842,61,7888,1,256,36,344,4,149,3,341,14,1899,2,1052,666,13,617,1886,14,149,18,102,420,71,2034,3583,56,165,55,3,341,14,45,5,102,420,71,289,199,790,1208,13,6,617,341,14,102,420,71,3,249,67,65,1
"labels5372",1,343,4,432,1744,202,435,10,1744,1383,38,328,13,125,95,390,1349,10,18,471,9,213,244,187,3,1,4416,2,1744,2,582,1571,3,1240,1012,5,44,625,5128,432,1744,54,6589,299,61,322,50,734,920,428,245,4199,5,149,0
"labels5373",7,62,272,55,3,1744,2,582,149,3,435,25,3221,47,6,237,63,851,5,1744,12084,354,1376,164,149,3776,24,60,19,376,25,11,1,1072,204,4,19,385,5363,5,6,486,63,5,1,815,4,149,2,1122,1,204,5363,5,0
"labels5374",164,149,3776,24,60,19,376,25,11,1,1072,204,4,19,385,5363,5,6,486,63,5,1,815,4,149,2,1122,1,204,5363,5,149,32,103,4,1,965,13538,316,5,1,83,24,60,659,4,1107,1602,1135,8,432,1744,434,385,0
"labels5375",13538,316,5,1,83,24,60,659,4,1107,1602,1135,8,432,1744,434,385,1,8557,4,1744,11,6,8264,3118,5,44,1744,2673,1699,3,15436,432,450,171,3458,23,2480,2,1349,21,432,376,1,8557,4742,10,432,1744,13954,247,125,2,1349,0
"labels5376",11,6,8264,3118,5,44,1744,2673,1699,3,15436,432,450,171,3458,23,2480,2,1349,21,432,376,1,8557,4742,10,432,1744,13954,247,125,2,1349,6,1120,4,385,261,10,19,376,85,16,1247,2,2710,33,1,3362,39,2028,1,432,178,0
"labels5377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,28,252,595,859,174,853,4,124,1421,50,85,38,16,253,98,4,110,15,7302,981,249,2,30,6,448,35,3284,232,1070,785,3440,8,28,3161,801,1
"labels5378",4,1086,2,143,46,8045,8,1,9117,107,137,3833,6,3326,510,4,91,915,14,99,313,5,5356,13,140,73,277,305,1,12333,305,105,3,2935,10,142,327,4,41,99,1297,1223,1,30,4,1054,2,511,2,127,38,7086,67,686,1
"labels5379",0,0,0,0,0,0,0,137,3833,6,3326,510,4,91,915,14,99,313,5,5356,13,140,73,277,305,1,12333,305,105,3,2935,10,142,327,4,41,99,1297,1223,1,30,4,1054,2,511,2,127,38,7086,67,686,3130,46,2776,1
"labels5380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,25,894,3,136,3452,1413,4,872,2,511,3,136,1973,2,3,87,99,358,482,3,10745,758,330,1
"labels5381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,128,7,62,24,187,8,1,453,8,99,1817,34,10,41,242,8,99,1817,17,1018,90,1,1253,89,789,1
"labels5382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,24,187,8,1,453,8,99,1817,34,10,41,242,8,99,1817,17,1018,90,1,1253,89,789,62,244,187,8,2272,330,460,1143,1930,1
"labels5383",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,41,242,8,99,1817,17,1018,90,1,1253,89,789,62,244,187,8,2272,330,460,1143,1930,344,205,818,2441,14,327,2,382,4,330,2,1,65,4,3274,1
"labels5384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,244,187,8,2272,330,460,1143,1930,344,205,818,2441,14,327,2,382,4,330,2,1,65,4,3274,3,1670,3803,2,1249,330,3956,166,99,1817,1294,1
"labels5385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,205,818,2441,14,327,2,382,4,330,2,1,65,4,3274,3,1670,3803,2,1249,330,3956,166,99,1817,1294,5,28,58,576,1
